x 	 u_exact
5.501100220044008449e-01	1.222435709631630729e-02
5.521104220844168520e-01	1.227426075543402995e-02
5.541108221644328591e-01	1.232420876158135670e-02
5.561112222444488662e-01	1.237420117364851357e-02
5.581116223244648733e-01	1.242423805063008757e-02
5.601120224044808804e-01	1.247431945162413847e-02
5.621124224844968875e-01	1.252444543583330905e-02
5.641128225645128946e-01	1.257461606256526920e-02
5.661132226445289017e-01	1.262483139123160569e-02
5.681136227245449088e-01	1.267509148134982055e-02
5.701140228045609160e-01	1.272539639254177679e-02
5.721144228845769231e-01	1.277574618453547473e-02
5.741148229645929302e-01	1.282614091716438587e-02
5.761152230446089373e-01	1.287658065036789701e-02
5.781156231246249444e-01	1.292706544419175430e-02
5.801160232046409515e-01	1.297759535878784121e-02
5.821164232846569586e-01	1.302817045441506671e-02
5.841168233646729657e-01	1.307879079143869916e-02
5.861172234446889728e-01	1.312945643033169851e-02
5.881176235247049799e-01	1.318016743167382820e-02
5.901180236047209871e-01	1.323092385615298738e-02
5.921184236847369942e-01	1.328172576456454479e-02
5.941188237647530013e-01	1.333257321781200488e-02
5.961192238447690084e-01	1.338346627690722990e-02
5.981196239247849045e-01	1.343440500297066187e-02
6.001200240048009116e-01	1.348538945723154470e-02
6.021204240848169187e-01	1.353641970102770209e-02
6.041208241648329258e-01	1.358749579580709188e-02
6.061212242448489329e-01	1.363861780312669580e-02
6.081216243248649400e-01	1.368978578465296359e-02
6.101220244048809471e-01	1.374099980216292316e-02
6.121224244848969542e-01	1.379225991754329250e-02
6.141228245649129613e-01	1.384356619279181189e-02
6.161232246449289685e-01	1.389491869001679980e-02
6.181236247249449756e-01	1.394631747143715295e-02
6.201240248049609827e-01	1.399776259938345646e-02
6.221244248849769898e-01	1.404925413629776187e-02
6.241248249649929969e-01	1.410079214473358711e-02
6.261252250450090040e-01	1.415237668735680465e-02
6.281256251250250111e-01	1.420400782694475339e-02
6.301260252050410182e-01	1.425568562638801495e-02
6.321264252850570253e-01	1.430741014868996963e-02
6.341268253650730324e-01	1.435918145696590820e-02
6.361272254450890395e-01	1.441099961444569644e-02
6.381276255251050467e-01	1.446286468447199880e-02
6.401280256051210538e-01	1.451477673050094452e-02
6.421284256851370609e-01	1.456673581610301582e-02
6.441288257651530680e-01	1.461874200496326992e-02
6.461292258451690751e-01	1.467079536088067293e-02
6.481296259251850822e-01	1.472289594776921007e-02
6.501300260052010893e-01	1.477504382965766361e-02
6.521304260852170964e-01	1.482723907069050107e-02
6.541308261652331035e-01	1.487948173512743111e-02
6.561312262452489996e-01	1.493177188734406968e-02
6.581316263252650067e-01	1.498410959183171798e-02
6.601320264052810138e-01	1.503649491319869469e-02
6.621324264852970209e-01	1.508892791616900375e-02
6.641328265653130281e-01	1.514140866558433274e-02
6.661332266453290352e-01	1.519393722640294264e-02
6.681336267253450423e-01	1.524651366370055605e-02
6.701340268053610494e-01	1.529913804267057920e-02
6.721344268853770565e-01	1.535181042862410195e-02
6.741348269653930636e-01	1.540453088699078599e-02
6.761352270454090707e-01	1.545729948331842074e-02
6.781356271254250778e-01	1.551011628327336744e-02
6.801360272054410849e-01	1.556298135264122529e-02
6.821364272854570920e-01	1.561589475732660937e-02
6.841368273654730991e-01	1.566885656335359478e-02
6.861372274454891063e-01	1.572186683686616071e-02
6.881376275255051134e-01	1.577492564412841247e-02
6.901380276055211205e-01	1.582803305152435946e-02
6.921384276855371276e-01	1.588118912555902540e-02
6.941388277655531347e-01	1.593439393285778216e-02
6.961392278455691418e-01	1.598764754016768208e-02
6.981396279255851489e-01	1.604095001435679180e-02
7.001400280056011560e-01	1.609430142241508044e-02
7.021404280856171631e-01	1.614770183145397553e-02
7.041408281656331702e-01	1.620115130870769526e-02
7.061412282456491774e-01	1.625464992153280441e-02
7.081416283256651845e-01	1.630819773740865841e-02
7.101420284056811916e-01	1.636179482393718132e-02
7.121424284856970877e-01	1.641544124884419809e-02
7.141428285657130948e-01	1.646913707997899046e-02
7.161432286457291019e-01	1.652288238531474107e-02
7.181436287257451090e-01	1.657667723294875550e-02
7.201440288057611161e-01	1.663052169110268430e-02
7.221444288857771232e-01	1.668441582812318913e-02
7.241448289657931303e-01	1.673835971248149868e-02
7.261452290458091374e-01	1.679235341277496296e-02
7.281456291258251445e-01	1.684639699772549903e-02
7.301460292058411516e-01	1.690049053618158936e-02
7.321464292858571588e-01	1.695463409711783775e-02
7.341468293658731659e-01	1.700882774963496935e-02
7.361472294458891730e-01	1.706307156296071881e-02
7.381476295259051801e-01	1.711736560644983030e-02
7.401480296059211872e-01	1.717170994958450159e-02
7.421484296859371943e-01	1.722610466197393997e-02
7.441488297659532014e-01	1.728054981335591656e-02
7.461492298459692085e-01	1.733504547359610015e-02
7.481496299259852156e-01	1.738959171268872339e-02
7.501500300060012227e-01	1.744418860075658273e-02
7.521504300860172298e-01	1.749883620805214868e-02
7.541508301660332370e-01	1.755353460495689966e-02
7.561512302460492441e-01	1.760828386198132200e-02
7.581516303260652512e-01	1.766308404976713042e-02
7.601520304060812583e-01	1.771793523908549162e-02
7.621524304860972654e-01	1.777283750083835656e-02
7.641528305661132725e-01	1.782779090605846051e-02
7.661532306461292796e-01	1.788279552590954502e-02
7.681536307261451757e-01	1.793785143168746821e-02
7.701540308061611828e-01	1.799295869481909449e-02
7.721544308861771899e-01	1.804811738686362688e-02
7.741548309661931970e-01	1.810332757951305105e-02
7.761552310462092041e-01	1.815858934459124718e-02
7.781556311262252112e-01	1.821390275405598835e-02
7.801560312062412184e-01	1.826926787999760826e-02
7.821564312862572255e-01	1.832468479464011146e-02
7.841568313662732326e-01	1.838015357034183950e-02
7.861572314462892397e-01	1.843567427959524885e-02
7.881576315263052468e-01	1.849124699502691094e-02
7.901580316063212539e-01	1.854687178939862235e-02
7.921584316863372610e-01	1.860254873560718281e-02
7.941588317663532681e-01	1.865827790668506125e-02
7.961592318463692752e-01	1.871405937580017387e-02
7.981596319263852823e-01	1.876989321625655016e-02
8.001600320064012895e-01	1.882577950149499912e-02
8.021604320864172966e-01	1.888171830509266513e-02
8.041608321664333037e-01	1.893770970076391613e-02
8.061612322464493108e-01	1.899375376236034363e-02
8.081616323264653179e-01	1.904985056387142883e-02
8.101620324064813250e-01	1.910600017942454265e-02
8.121624324864973321e-01	1.916220268328516774e-02
8.141628325665133392e-01	1.921845814985756462e-02
8.161632326465293463e-01	1.927476665368521580e-02
8.181636327265453534e-01	1.933112826945060370e-02
8.201640328065613605e-01	1.938754307197565474e-02
8.221644328865773677e-01	1.944401113622240551e-02
8.241648329665933748e-01	1.950053253729344682e-02
8.261652330466092709e-01	1.955710735043147963e-02
8.281656331266252780e-01	1.961373565102042527e-02
8.301660332066412851e-01	1.967041751458498133e-02
8.321664332866572922e-01	1.972715301679217603e-02
8.341668333666732993e-01	1.978394223345003589e-02
8.361672334466893064e-01	1.984078524050958414e-02
8.381676335267053135e-01	1.989768211406417464e-02
8.401680336067213206e-01	1.995463293034971386e-02
8.421684336867373277e-01	2.001163776574554909e-02
8.441688337667533348e-01	2.006869669677491252e-02
8.461692338467693419e-01	2.012580980010447718e-02
8.481696339267853491e-01	2.018297715254524505e-02
8.501700340068013562e-01	2.024019883105299122e-02
8.521704340868173633e-01	2.029747491272804183e-02
8.541708341668333704e-01	2.035480547481660629e-02
8.561712342468493775e-01	2.041219059470966712e-02
8.581716343268653846e-01	2.046963034994475628e-02
8.601720344068813917e-01	2.052712481820528900e-02
8.621724344868973988e-01	2.058467407732167409e-02
8.641728345669134059e-01	2.064227820527109181e-02
8.661732346469294130e-01	2.069993728017771595e-02
8.681736347269454201e-01	2.075765138031382406e-02
8.701740348069614273e-01	2.081542058409957541e-02
8.721744348869774344e-01	2.087324497010345503e-02
8.741748349669934415e-01	2.093112461704249583e-02
8.761752350470094486e-01	2.098905960378294466e-02
8.781756351270254557e-01	2.104705000934048442e-02
8.801760352070414628e-01	2.110509591288045605e-02
8.821764352870573589e-01	2.116319739371808062e-02
8.841768353670733660e-01	2.122135453131956950e-02
8.861772354470893731e-01	2.127956740530168034e-02
8.881776355271053802e-01	2.133783609543193904e-02
8.901780356071213873e-01	2.139616068162997209e-02
8.921784356871373944e-01	2.145454124396706241e-02
8.941788357671534015e-01	2.151297786266681555e-02
8.961792358471694087e-01	2.157147061810538169e-02
8.981796359271854158e-01	2.163001959081167769e-02
9.001800360072014229e-01	2.168862486146827528e-02
9.021804360872174300e-01	2.174728651091140108e-02
9.041808361672334371e-01	2.180600462013093654e-02
9.061812362472494442e-01	2.186477927027152823e-02
9.081816363272654513e-01	2.192361054263280984e-02
9.101820364072814584e-01	2.198249851866895810e-02
9.121824364872974655e-01	2.204144327999024711e-02
9.141828365673134726e-01	2.210044490836260422e-02
9.161832366473294798e-01	2.215950348570827622e-02
9.181836367273454869e-01	2.221861909410582925e-02
9.201840368073614940e-01	2.227779181579125911e-02
9.221844368873775011e-01	2.233702173315776918e-02
9.241848369673935082e-01	2.239630892875643653e-02
9.261852370474095153e-01	2.245565348529621197e-02
9.281856371274255224e-01	2.251505548564458614e-02
9.301860372074415295e-01	2.257451501282803363e-02
9.321864372874575366e-01	2.263403215003267910e-02
9.341868373674735437e-01	2.269360698060340908e-02
9.361872374474895508e-01	2.275323958804609248e-02
9.381876375275055580e-01	2.281293005602602619e-02
9.401880376075214540e-01	2.287267846837015561e-02
9.421884376875374612e-01	2.293248490906618642e-02
9.441888377675534683e-01	2.299234946226347276e-02
9.461892378475694754e-01	2.305227221227323930e-02
9.481896379275854825e-01	2.311225324356924737e-02
9.501900380076014896e-01	2.317229264078735085e-02
9.521904380876174967e-01	2.323239048872749457e-02
9.541908381676335038e-01	2.329254687235260413e-02
9.561912382476495109e-01	2.335276187678925197e-02
9.581916383276655180e-01	2.341303558732854562e-02
9.601920384076815251e-01	2.347336808942634967e-02
9.621924384876975322e-01	2.353375946870395197e-02
9.641928385677135394e-01	2.359420981094717540e-02
9.661932386477295465e-01	2.365471920210837631e-02
9.681936387277455536e-01	2.371528772830622245e-02
9.701940388077615607e-01	2.377591547582591502e-02
9.721944388877775678e-01	2.383660253111941074e-02
9.741948389677935749e-01	2.389734898080675407e-02
9.761952390478095820e-01	2.395815491167541111e-02
9.781956391278255891e-01	2.401902041068137983e-02
9.801960392078415962e-01	2.407994556494896798e-02
9.821964392878576033e-01	2.414093046177212543e-02
9.841968393678736104e-01	2.420197518861399999e-02
9.861972394478896176e-01	2.426307983310760363e-02
9.881976395279056247e-01	2.432424448305625653e-02
9.901980396079216318e-01	2.438546922643425319e-02
9.921984396879376389e-01	2.444675415138686247e-02
9.941988397679536460e-01	2.450809934623121578e-02
9.961992398479695421e-01	2.456950489945564087e-02
9.981996399279855492e-01	2.463097089972166032e-02
1.000200040008001556e+00	2.469249743586354739e-02
1.002200440088017563e+00	2.475408459688810403e-02
1.004200840168033571e+00	2.481573247197665921e-02
1.006201240248049578e+00	2.487744115048418081e-02
1.008201640328065585e+00	2.493921072193994171e-02
1.010202040408081592e+00	2.500104127604885207e-02
1.012202440488097599e+00	2.506293290269012708e-02
1.014202840568113606e+00	2.512488569191972942e-02
1.016203240648129613e+00	2.518689973396925907e-02
1.018203640728145620e+00	2.524897511924684146e-02
1.020204040808161627e+00	2.531111193833845974e-02
1.022204440888177635e+00	2.537331028200662253e-02
1.024204840968193642e+00	2.543557024119258436e-02
1.026205241048209649e+00	2.549789190701501340e-02
1.028205641128225656e+00	2.556027537077221190e-02
1.030206041208241663e+00	2.562272072394145006e-02
1.032206441288257670e+00	2.568522805817941013e-02
1.034206841368273677e+00	2.574779746532329661e-02
1.036207241448289684e+00	2.581042903739061423e-02
1.038207641528305691e+00	2.587312286657983407e-02
1.040208041608321698e+00	2.593587904527083765e-02
1.042208441688337706e+00	2.599869766602558308e-02
1.044208841768353713e+00	2.606157882158810501e-02
1.046209241848369720e+00	2.612452260488518085e-02
1.048209641928385727e+00	2.618752910902744091e-02
1.050210042008401734e+00	2.625059842730803616e-02
