x 	 u_pred 	 u_exact
1.169999999999999929e+00	1.100644288474966315e+00	1.116169377243770855e+00
1.179999999999999938e+00	1.107001486181930172e+00	1.122838783785976569e+00
1.189999999999999947e+00	1.113351142917593295e+00	1.129491255513168202e+00
1.199999999999999956e+00	1.119693473380335202e+00	1.136126977198888666e+00
1.209999999999999964e+00	1.126028678804829708e+00	1.142746130079492994e+00
1.219999999999999973e+00	1.132356947476351072e+00	1.149348891950503049e+00
1.229999999999999982e+00	1.138678455231253217e+00	1.155935437259567600e+00
1.239999999999999991e+00	1.144993365943786534e+00	1.162505937196178118e+00
1.250000000000000000e+00	1.151301831999461234e+00	1.169060559778276609e+00
1.260000000000000009e+00	1.157603994755154631e+00	1.175599469935887376e+00
1.270000000000000018e+00	1.163899984986172864e+00	1.182122829591897739e+00
1.280000000000000027e+00	1.170189923320476666e+00	1.188630797740107381e+00
1.290000000000000036e+00	1.176473920660305206e+00	1.195123530520658006e+00
1.300000000000000044e+00	1.182752078591405631e+00	1.201601181292952569e+00
1.310000000000000053e+00	1.189024489780108773e+00	1.208063900706163096e+00
1.320000000000000062e+00	1.195291238358476615e+00	1.214511836767429243e+00
1.330000000000000071e+00	1.201552400297756451e+00	1.220945134907836405e+00
1.340000000000000080e+00	1.207808043770377981e+00	1.227363938046262204e+00
1.350000000000000089e+00	1.214058229500727615e+00	1.233768386651177940e+00
1.360000000000000098e+00	1.220303011104937774e+00	1.240158618800482948e+00
1.370000000000000107e+00	1.226542435419935906e+00	1.246534770239448697e+00
1.380000000000000115e+00	1.232776542821971688e+00	1.252896974436847000e+00
1.390000000000000124e+00	1.239005367534886881e+00	1.259245362639330512e+00
1.400000000000000133e+00	1.245228937928337443e+00	1.265580063924133025e+00
1.409999999999999920e+00	1.251447276806220366e+00	1.271901205250151934e+00
1.419999999999999929e+00	1.257660401685532170e+00	1.278208911507476619e+00
1.429999999999999938e+00	1.263868325065887088e+00	1.284503305565415809e+00
1.439999999999999947e+00	1.270071054689935863e+00	1.290784508319084090e+00
1.449999999999999956e+00	1.276268593794892992e+00	1.297052638734597751e+00
1.459999999999999964e+00	1.282460941355425543e+00	1.303307813892932376e+00
1.469999999999999973e+00	1.288648092318090965e+00	1.309550149032489896e+00
1.479999999999999982e+00	1.294830037827576774e+00	1.315779757590420873e+00
1.489999999999999991e+00	1.301006765444933544e+00	1.321996751242748180e+00
1.500000000000000000e+00	1.307178259358025452e+00	1.328201239943334055e+00
1.510000000000000009e+00	1.313344500584407548e+00	1.334393331961730933e+00
1.520000000000000018e+00	1.319505467166837809e+00	1.340573133919954030e+00
1.530000000000000027e+00	1.325661134361616478e+00	1.346740750828217870e+00
1.540000000000000036e+00	1.331811474819967867e+00	1.352896286119666058e+00
1.550000000000000044e+00	1.337956458762648460e+00	1.359039841684134053e+00
1.560000000000000053e+00	1.344096054147979835e+00	1.365171517900976017e+00
1.570000000000000062e+00	1.350230226833493807e+00	1.371291413670986614e+00
1.580000000000000071e+00	1.356358940731369866e+00	1.377399626447451730e+00
1.590000000000000080e+00	1.362482157957856765e+00	1.383496252266351201e+00
1.600000000000000089e+00	1.368599838976847005e+00	1.389581385775749522e+00
1.610000000000000098e+00	1.374711942737777193e+00	1.395655120264394089e+00
1.620000000000000107e+00	1.380818426808033461e+00	1.401717547689552479e+00
1.630000000000000115e+00	1.386919247500016494e+00	1.407768758704110779e+00
1.640000000000000124e+00	1.393014359993042905e+00	1.413808842682956701e+00
1.650000000000000133e+00	1.399103718450221523e+00	1.419837887748673921e+00
1.660000000000000142e+00	1.405187276130481555e+00	1.425855980796564282e+00
1.669999999999999929e+00	1.411264985495893187e+00	1.431863207519026071e+00
1.679999999999999938e+00	1.417336798314421831e+00	1.437859652429301249e+00
1.689999999999999947e+00	1.423402665758279229e+00	1.443845398884618714e+00
1.699999999999999956e+00	1.429462538497990876e+00	1.449820529108746925e+00
1.709999999999999964e+00	1.435516366792332077e+00	1.455785124213977655e+00
1.719999999999999973e+00	1.441564100574261431e+00	1.461739264222557733e+00
1.729999999999999982e+00	1.447605689532979190e+00	1.467683028087583885e+00
1.739999999999999991e+00	1.453641083192242389e+00	1.473616493713380660e+00
1.750000000000000000e+00	1.459670230985053330e+00	1.479539737975373859e+00
1.760000000000000009e+00	1.465693082324857066e+00	1.485452836739475924e+00
1.770000000000000018e+00	1.471709586673337844e+00	1.491355864880999249e+00
1.780000000000000027e+00	1.477719693604962359e+00	1.497248896303109644e+00
1.790000000000000036e+00	1.483723352868350664e+00	1.503132003954833928e+00
1.800000000000000044e+00	1.489720514444599075e+00	1.509005259848636094e+00
1.810000000000000053e+00	1.495711128602656759e+00	1.514868735077574025e+00
1.820000000000000062e+00	1.501695145951858601e+00	1.520722499832048324e+00
1.830000000000000071e+00	1.507672517491706721e+00	1.526566623416155455e+00
1.840000000000000080e+00	1.513643194659004987e+00	1.532401174263658294e+00
1.850000000000000089e+00	1.519607129372438470e+00	1.538226219953582552e+00
1.860000000000000098e+00	1.525564274074680648e+00	1.544041827225451469e+00
1.870000000000000107e+00	1.531514581772131844e+00	1.549848061994168358e+00
1.880000000000000115e+00	1.537458006072358163e+00	1.555644989364557418e+00
1.890000000000000124e+00	1.543394501219324200e+00	1.561432673645572144e+00
1.900000000000000133e+00	1.549324022126493006e+00	1.567211178364180224e+00
1.910000000000000142e+00	1.555246524407885467e+00	1.572980566278935788e+00
1.919999999999999929e+00	1.561161964407151270e+00	1.578740899393245023e+00
1.929999999999999938e+00	1.567070299224748720e+00	1.584492238968334910e+00
1.939999999999999947e+00	1.572971486743292457e+00	1.590234645535934632e+00
1.949999999999999956e+00	1.578865485651133493e+00	1.595968178910674551e+00
1.959999999999999964e+00	1.584752255464258575e+00	1.601692898202212056e+00
1.969999999999999973e+00	1.590631756546546871e+00	1.607408861827093860e+00
1.979999999999999982e+00	1.596503950128468796e+00	1.613116127520355825e+00
1.989999999999999991e+00	1.602368798324277366e+00	1.618814752346874331e+00
2.000000000000000000e+00	1.608226264147751383e+00	1.624504792712470946e+00
2.010000000000000231e+00	1.614076311526555951e+00	1.630186304374779072e+00
2.020000000000000018e+00	1.619918905315257396e+00	1.635859342453876986e+00
2.030000000000000249e+00	1.625754011307072533e+00	1.641523961442697521e+00
2.040000000000000036e+00	1.631581596244380039e+00	1.647180215217214139e+00
2.049999999999999822e+00	1.637401627828054318e+00	1.652828157046414725e+00
2.060000000000000053e+00	1.643214074725674045e+00	1.658467839602066007e+00
2.069999999999999840e+00	1.649018906578646693e+00	1.664099314968271903e+00
2.080000000000000071e+00	1.654816094008289662e+00	1.669722634650838478e+00
2.089999999999999858e+00	1.660605608620931761e+00	1.675337849586439054e+00
2.100000000000000089e+00	1.666387423012049229e+00	1.680945010151597474e+00
2.109999999999999876e+00	1.672161510769501369e+00	1.686544166171480841e+00
2.120000000000000107e+00	1.677927846475895990e+00	1.692135366928520179e+00
2.129999999999999893e+00	1.683686405710115741e+00	1.697718661170849908e+00
2.140000000000000124e+00	1.689437165048061296e+00	1.703294097120581885e+00
2.149999999999999911e+00	1.695180102062625149e+00	1.708861722481909595e+00
2.160000000000000142e+00	1.700915195322954654e+00	1.714421584449054459e+00
2.169999999999999929e+00	1.706642424393007174e+00	1.719973729714049826e+00
2.180000000000000160e+00	1.712361769829461311e+00	1.725518204474373540e+00
2.189999999999999947e+00	1.718073213178997749e+00	1.731055054440429064e+00
2.200000000000000178e+00	1.723776736974981239e+00	1.736584324842880722e+00
2.209999999999999964e+00	1.729472324733574817e+00	1.742106060439843729e+00
2.220000000000000195e+00	1.735159960949316238e+00	1.747620305523936768e+00
2.229999999999999982e+00	1.740839631090180140e+00	1.753127103929196018e+00
2.240000000000000213e+00	1.746511321592156607e+00	1.758626499037858171e+00
2.250000000000000000e+00	1.752175019853364102e+00	1.764118533787010223e+00
2.260000000000000231e+00	1.757830714227729629e+00	1.769603250675116257e+00
2.270000000000000018e+00	1.763478394018253459e+00	1.775080691768415653e+00
2.280000000000000249e+00	1.769118049469880827e+00	1.780550898707204510e+00
2.290000000000000036e+00	1.774749671762011038e+00	1.786013912711994500e+00
2.300000000000000266e+00	1.780373253000650857e+00	1.791469774589560915e+00
2.310000000000000053e+00	1.785988786210242818e+00	1.796918524738872369e+00
2.319999999999999840e+00	1.791596265325189341e+00	1.802360203156914809e+00
2.330000000000000071e+00	1.797195685181079527e+00	1.807794849444405161e+00
2.339999999999999858e+00	1.802787041505649057e+00	1.813222502811399739e+00
2.350000000000000089e+00	1.808370330909485846e+00	1.818643202082800725e+00
2.359999999999999876e+00	1.813945550876497892e+00	1.824056985703760736e+00
2.370000000000000107e+00	1.819512699754160412e+00	1.829463891744990578e+00
2.379999999999999893e+00	1.825071776743547813e+00	1.834863957907967968e+00
2.390000000000000124e+00	1.830622781889194695e+00	1.840257221530056331e+00
2.399999999999999911e+00	1.836165716068760556e+00	1.845643719589526777e+00
2.410000000000000142e+00	1.841700580982541302e+00	1.851023488710495046e+00
2.419999999999999929e+00	1.847227379142831971e+00	1.856396565167765411e+00
2.430000000000000160e+00	1.852746113863143806e+00	1.861762984891593309e+00
2.439999999999999947e+00	1.858256789247312524e+00	1.867122783472360270e+00
2.450000000000000178e+00	1.863759410178474241e+00	1.872475996165168466e+00
2.459999999999999964e+00	1.869253982307957695e+00	1.877822657894353320e+00
2.470000000000000195e+00	1.874740512044069884e+00	1.883162803257918849e+00
2.479999999999999982e+00	1.880219006540819082e+00	1.888496466531894180e+00
2.490000000000000213e+00	1.885689473686549267e+00	1.893823681674615678e+00
2.500000000000000000e+00	1.891151922092524806e+00	1.899144482330934691e+00
2.510000000000000231e+00	1.896606361081464298e+00	1.904458901836353579e+00
2.520000000000000018e+00	1.902052800676020672e+00	1.909766973221089570e+00
2.530000000000000249e+00	1.907491251587241754e+00	1.915068729214071341e+00
2.540000000000000036e+00	1.912921725202992196e+00	1.920364202246865437e+00
2.550000000000000266e+00	1.918344233576361635e+00	1.925653424457538732e+00
2.560000000000000053e+00	1.923758789414062642e+00	1.930936427694452062e+00
2.569999999999999840e+00	1.929165406064821786e+00	1.936213243519996130e+00
2.580000000000000071e+00	1.934564097507773806e+00	1.941483903214258122e+00
2.589999999999999858e+00	1.939954878340868660e+00	1.946748437778632157e+00
2.600000000000000089e+00	1.945337763769283468e+00	1.952006877939368001e+00
2.609999999999999876e+00	1.950712769593867302e+00	1.957259254151060723e+00
2.620000000000000107e+00	1.956079912199605086e+00	1.962505596600084390e+00
2.629999999999999893e+00	1.961439208544116353e+00	1.967745935207967367e+00
2.640000000000000124e+00	1.966790676146187966e+00	1.972980299634714996e+00
2.649999999999999911e+00	1.972134333074351709e+00	1.978208719282075423e+00
2.660000000000000142e+00	1.977470197935510932e+00	1.983431223296754808e+00
2.669999999999999929e+00	1.982798289863602736e+00	1.988647840573578796e+00
2.680000000000000160e+00	1.988118628508344310e+00	1.993858599758605354e+00
2.689999999999999947e+00	1.993431234024001686e+00	1.999063529252184113e+00
2.700000000000000178e+00	1.998736127058256207e+00	2.004262657211971721e+00
2.709999999999999964e+00	2.004033328741106068e+00	2.009456011555893262e+00
2.720000000000000195e+00	2.009322860673867783e+00	2.014643619965062804e+00
2.729999999999999982e+00	2.014604744918219836e+00	2.019825509886653325e+00
