x	u_pred	u_exact
1.101101160049438477e+00	1.102690815925598145e+00	1.212423801422119141e+00
1.111111164093017578e+00	1.125830769538879395e+00	1.234567999839782715e+00
1.121121168136596680e+00	1.149160146713256836e+00	1.256912708282470703e+00
1.131131172180175781e+00	1.172681808471679688e+00	1.279457688331604004e+00
1.141141176223754883e+00	1.196390867233276367e+00	1.302203178405761719e+00
1.151151180267333984e+00	1.220282912254333496e+00	1.325149059295654297e+00
1.161161184310913086e+00	1.244364500045776367e+00	1.348295331001281738e+00
1.171171188354492188e+00	1.268630027770996094e+00	1.371641993522644043e+00
1.181181192398071289e+00	1.293083310127258301e+00	1.395189046859741211e+00
1.191191196441650391e+00	1.317718863487243652e+00	1.418936491012573242e+00
1.201201200485229492e+00	1.342538356781005859e+00	1.442884325981140137e+00
1.211211204528808594e+00	1.367539048194885254e+00	1.467032551765441895e+00
1.221221208572387695e+00	1.392721652984619141e+00	1.491381287574768066e+00
1.231231212615966797e+00	1.418089628219604492e+00	1.515930294990539551e+00
1.241241216659545898e+00	1.443636536598205566e+00	1.540679812431335449e+00
1.251251220703125000e+00	1.469361662864685059e+00	1.565629601478576660e+00
1.261261224746704102e+00	1.495268583297729492e+00	1.590779900550842285e+00
1.271271228790283203e+00	1.521354079246520996e+00	1.616130590438842773e+00
1.281281232833862305e+00	1.547618865966796875e+00	1.641681551933288574e+00
1.291291236877441406e+00	1.574058532714843750e+00	1.667433023452758789e+00
1.301301360130310059e+00	1.600678205490112305e+00	1.693385243415832520e+00
1.311311364173889160e+00	1.627475500106811523e+00	1.719537496566772461e+00
1.321321368217468262e+00	1.654446721076965332e+00	1.745890140533447266e+00
1.331331372261047363e+00	1.681595563888549805e+00	1.772443175315856934e+00
1.341341376304626465e+00	1.708919286727905273e+00	1.799196720123291016e+00
1.351351380348205566e+00	1.736420392990112305e+00	1.826150536537170410e+00
1.361361384391784668e+00	1.764093637466430664e+00	1.853304862976074219e+00
1.371371388435363770e+00	1.791943073272705078e+00	1.880659461021423340e+00
1.381381392478942871e+00	1.819963335990905762e+00	1.908214569091796875e+00
1.391391396522521973e+00	1.848159790039062500e+00	1.935970067977905273e+00
1.401401400566101074e+00	1.876530408859252930e+00	1.963925838470458984e+00
1.411411404609680176e+00	1.905073642730712891e+00	1.992082118988037109e+00
1.421421408653259277e+00	1.933787584304809570e+00	2.020438909530639648e+00
1.431431412696838379e+00	1.962675094604492188e+00	2.048995971679687500e+00
1.441441416740417480e+00	1.991730213165283203e+00	2.077753305435180664e+00
1.451451420783996582e+00	2.020960092544555664e+00	2.106711149215698242e+00
1.461461424827575684e+00	2.050358295440673828e+00	2.135869503021240234e+00
1.471471428871154785e+00	2.079933166503906250e+00	2.165228128433227539e+00
1.481481432914733887e+00	2.109674215316772461e+00	2.194787263870239258e+00
1.491491436958312988e+00	2.139587879180908203e+00	2.224546670913696289e+00
1.501501560211181641e+00	2.169670820236206055e+00	2.254506826400756836e+00
1.511511564254760742e+00	2.199923038482666016e+00	2.284667253494262695e+00
1.521521568298339844e+00	2.230349302291870117e+00	2.315027952194213867e+00
1.531531572341918945e+00	2.260936975479125977e+00	2.345588922500610352e+00
1.541541576385498047e+00	2.291700839996337891e+00	2.376350402832031250e+00
1.551551580429077148e+00	2.322632789611816406e+00	2.407312393188476562e+00
1.561561584472656250e+00	2.353733301162719727e+00	2.438474655151367188e+00
1.571571588516235352e+00	2.385000467300415039e+00	2.469837188720703125e+00
1.581581592559814453e+00	2.416435241699218750e+00	2.501400232315063477e+00
1.591591596603393555e+00	2.448041439056396484e+00	2.533163785934448242e+00
1.601601600646972656e+00	2.479815006256103516e+00	2.565127611160278320e+00
1.611611604690551758e+00	2.511761665344238281e+00	2.597291946411132812e+00
1.621621608734130859e+00	2.543869256973266602e+00	2.629656553268432617e+00
1.631631612777709961e+00	2.576148748397827148e+00	2.662221670150756836e+00
1.641641616821289062e+00	2.608594655990600586e+00	2.694987297058105469e+00
1.651651620864868164e+00	2.641207218170166016e+00	2.727953195571899414e+00
