x	u_pred	u_exact
1.341341376304626465e+00	5.457371234893798828e+00	1.799196720123291016e+00
1.351351380348205566e+00	5.487619400024414062e+00	1.826150536537170410e+00
1.361361384391784668e+00	5.517932891845703125e+00	1.853304862976074219e+00
1.371371388435363770e+00	5.548307895660400391e+00	1.880659461021423340e+00
1.381381392478942871e+00	5.578757286071777344e+00	1.908214569091796875e+00
1.391391396522521973e+00	5.609284877777099609e+00	1.935970067977905273e+00
1.401401400566101074e+00	5.639860630035400391e+00	1.963925838470458984e+00
1.411411404609680176e+00	5.670509815216064453e+00	1.992082118988037109e+00
1.421421408653259277e+00	5.701224803924560547e+00	2.020438909530639648e+00
1.431431412696838379e+00	5.732020854949951172e+00	2.048995971679687500e+00
1.441441416740417480e+00	5.762880802154541016e+00	2.077753305435180664e+00
1.451451420783996582e+00	5.793799400329589844e+00	2.106711149215698242e+00
1.461461424827575684e+00	5.824802875518798828e+00	2.135869503021240234e+00
1.471471428871154785e+00	5.855875968933105469e+00	2.165228128433227539e+00
1.481481432914733887e+00	5.887020587921142578e+00	2.194787263870239258e+00
1.491491436958312988e+00	5.918244361877441406e+00	2.224546670913696289e+00
1.501501560211181641e+00	5.949538707733154297e+00	2.254506826400756836e+00
1.511511564254760742e+00	5.980921745300292969e+00	2.284667253494262695e+00
1.521521568298339844e+00	6.012379646301269531e+00	2.315027952194213867e+00
1.531531572341918945e+00	6.043908119201660156e+00	2.345588922500610352e+00
1.541541576385498047e+00	6.075532913208007812e+00	2.376350402832031250e+00
1.551551580429077148e+00	6.107228279113769531e+00	2.407312393188476562e+00
1.561561584472656250e+00	6.139009952545166016e+00	2.438474655151367188e+00
1.571571588516235352e+00	6.170883655548095703e+00	2.469837188720703125e+00
1.581581592559814453e+00	6.202841281890869141e+00	2.501400232315063477e+00
1.591591596603393555e+00	6.234892845153808594e+00	2.533163785934448242e+00
1.601601600646972656e+00	6.267032146453857422e+00	2.565127611160278320e+00
1.611611604690551758e+00	6.299262523651123047e+00	2.597291946411132812e+00
1.621621608734130859e+00	6.331588268280029297e+00	2.629656553268432617e+00
1.631631612777709961e+00	6.364020824432373047e+00	2.662221670150756836e+00
1.641641616821289062e+00	6.396547794342041016e+00	2.694987297058105469e+00
1.651651620864868164e+00	6.429176330566406250e+00	2.727953195571899414e+00
1.661661624908447266e+00	6.461905479431152344e+00	2.761119365692138672e+00
1.671671628952026367e+00	6.494742393493652344e+00	2.794486045837402344e+00
1.681681632995605469e+00	6.527669429779052734e+00	2.828052997589111328e+00
1.691691637039184570e+00	6.560724258422851562e+00	2.861820697784423828e+00
1.701701760292053223e+00	6.593888282775878906e+00	2.895788908004760742e+00
1.711711764335632324e+00	6.627157688140869141e+00	2.929957151412963867e+00
1.721721768379211426e+00	6.660541534423828125e+00	2.964325904846191406e+00
1.731731772422790527e+00	6.694055080413818359e+00	2.998894929885864258e+00
1.741741776466369629e+00	6.727677822113037109e+00	3.033664464950561523e+00
1.751751780509948730e+00	6.761408329010009766e+00	3.068634271621704102e+00
1.761761784553527832e+00	6.795289039611816406e+00	3.103804588317871094e+00
1.771771788597106934e+00	6.829287528991699219e+00	3.139175176620483398e+00
1.781781792640686035e+00	6.863419055938720703e+00	3.174746274948120117e+00
1.791791796684265137e+00	6.897653102874755859e+00	3.210517883300781250e+00
1.801801800727844238e+00	6.932033538818359375e+00	3.246489763259887695e+00
1.811811804771423340e+00	6.966547012329101562e+00	3.282661914825439453e+00
1.821821808815002441e+00	7.001186847686767578e+00	3.319034814834594727e+00
1.831831812858581543e+00	7.035985469818115234e+00	3.355607748031616211e+00
1.841841816902160645e+00	7.070912837982177734e+00	3.392381191253662109e+00
1.851851820945739746e+00	7.105977535247802734e+00	3.429355144500732422e+00
1.861861824989318848e+00	7.141200065612792969e+00	3.466529369354248047e+00
1.871871829032897949e+00	7.176566600799560547e+00	3.503904104232788086e+00
1.881881833076477051e+00	7.212068557739257812e+00	3.541479349136352539e+00
1.891891837120056152e+00	7.247734069824218750e+00	3.579254627227783203e+00
1.901901960372924805e+00	7.283553123474121094e+00	3.617231130599975586e+00
1.911911964416503906e+00	7.319507122039794922e+00	3.655407428741455078e+00
1.921921968460083008e+00	7.355633258819580078e+00	3.693783998489379883e+00
1.931931972503662109e+00	7.391929149627685547e+00	3.732361078262329102e+00
1.941941976547241211e+00	7.428372383117675781e+00	3.771138668060302734e+00
1.951951980590820312e+00	7.464961051940917969e+00	3.810116529464721680e+00
1.961961984634399414e+00	7.501750469207763672e+00	3.849294900894165039e+00
1.971971988677978516e+00	7.538686752319335938e+00	3.888673543930053711e+00
1.981981992721557617e+00	7.575798988342285156e+00	3.928252696990966797e+00
1.991991996765136719e+00	7.613088130950927734e+00	3.968032121658325195e+00
2.002002000808715820e+00	7.650528907775878906e+00	4.008011817932128906e+00
2.012012004852294922e+00	7.688164710998535156e+00	4.048192501068115234e+00
2.022022008895874023e+00	7.725965023040771484e+00	4.088572978973388672e+00
2.032032012939453125e+00	7.763954162597656250e+00	4.129154205322265625e+00
2.042042016983032227e+00	7.802120208740234375e+00	4.169935703277587891e+00
2.052052021026611328e+00	7.840471267700195312e+00	4.210917472839355469e+00
2.062062025070190430e+00	7.879007339477539062e+00	4.252099990844726562e+00
2.072072029113769531e+00	7.917721271514892578e+00	4.293482303619384766e+00
2.082082033157348633e+00	7.956637382507324219e+00	4.335065364837646484e+00
2.092092037200927734e+00	7.995749950408935547e+00	4.376849174499511719e+00
2.102102041244506836e+00	8.035037040710449219e+00	4.418832778930664062e+00
2.112112045288085938e+00	8.074531555175781250e+00	4.461017131805419922e+00
2.122122049331665039e+00	8.114212989807128906e+00	4.503401756286621094e+00
2.132132053375244141e+00	8.154098510742187500e+00	4.545987129211425781e+00
2.142142057418823242e+00	8.194174766540527344e+00	4.588772773742675781e+00
2.152152061462402344e+00	8.234468460083007812e+00	4.631758689880371094e+00
2.162162065505981445e+00	8.274953842163085938e+00	4.674944877624511719e+00
2.172172069549560547e+00	8.315649032592773438e+00	4.718331336975097656e+00
2.182182073593139648e+00	8.356554031372070312e+00	4.761918544769287109e+00
2.192192077636718750e+00	8.397658348083496094e+00	4.805706024169921875e+00
2.202202320098876953e+00	8.438976287841796875e+00	4.849695205688476562e+00
2.212212324142456055e+00	8.480507850646972656e+00	4.893883228302001953e+00
2.222222328186035156e+00	8.522248268127441406e+00	4.938271999359130859e+00
2.232232332229614258e+00	8.564203262329101562e+00	4.982861042022705078e+00
2.242242336273193359e+00	8.606392860412597656e+00	5.027650833129882812e+00
2.252252340316772461e+00	8.648770332336425781e+00	5.072640419006347656e+00
2.262262344360351562e+00	8.691393852233886719e+00	5.117830753326416016e+00
2.272272348403930664e+00	8.734227180480957031e+00	5.163221836090087891e+00
2.282282352447509766e+00	8.777284622192382812e+00	5.208812713623046875e+00
2.292292356491088867e+00	8.820564270019531250e+00	5.254604339599609375e+00
2.302302360534667969e+00	8.864059448242187500e+00	5.300596237182617188e+00
2.312312364578247070e+00	8.907796859741210938e+00	5.346788406372070312e+00
2.322322368621826172e+00	8.951756477355957031e+00	5.393181324005126953e+00
2.332332372665405273e+00	8.995935440063476562e+00	5.439774513244628906e+00
2.342342376708984375e+00	9.040367126464843750e+00	5.486567974090576172e+00
2.352352380752563477e+00	9.085015296936035156e+00	5.533561706542968750e+00
2.362362384796142578e+00	9.129897117614746094e+00	5.580756187438964844e+00
2.372372388839721680e+00	9.175018310546875000e+00	5.628150939941406250e+00
2.382382392883300781e+00	9.220373153686523438e+00	5.675745964050292969e+00
2.392392396926879883e+00	9.265975952148437500e+00	5.723541259765625000e+00
2.402402400970458984e+00	9.311797142028808594e+00	5.771537303924560547e+00
2.412412405014038086e+00	9.357862472534179688e+00	5.819733619689941406e+00
2.422422409057617188e+00	9.404175758361816406e+00	5.868130207061767578e+00
2.432432413101196289e+00	9.450706481933593750e+00	5.916727542877197266e+00
2.442442417144775391e+00	9.497504234313964844e+00	5.965525150299072266e+00
2.452452421188354492e+00	9.544549942016601562e+00	6.014523029327392578e+00
2.462462425231933594e+00	9.591823577880859375e+00	6.063721179962158203e+00
