x 	 u_exact
9.361872374474895508e-01	9.548912228618168241e-01
9.381876375275055580e-01	9.563190216133412580e-01
9.401880376075214540e-01	9.577459073520040445e-01
9.421884376875374612e-01	9.591718826023580835e-01
9.441888377675534683e-01	9.605969498766321335e-01
9.461892378475694754e-01	9.620211116748168534e-01
9.481896379275854825e-01	9.634443704847502898e-01
9.501900380076014896e-01	9.648667287822028094e-01
9.521904380876174967e-01	9.662881890309602539e-01
9.541908381676335038e-01	9.677087536829076519e-01
9.561912382476495109e-01	9.691284251781109305e-01
9.581916383276655180e-01	9.705472059448990718e-01
9.601920384076815251e-01	9.719650983999442717e-01
9.621924384876975322e-01	9.733821049483428745e-01
9.641928385677135394e-01	9.747982279836938657e-01
9.661932386477295465e-01	9.762134698881784756e-01
9.681936387277455536e-01	9.776278330326373389e-01
9.701940388077615607e-01	9.790413197766483222e-01
9.721944388877775678e-01	9.804539324686031287e-01
9.741948389677935749e-01	9.818656734457827939e-01
9.761952390478095820e-01	9.832765450344334024e-01
9.781956391278255891e-01	9.846865495498404730e-01
9.801960392078415962e-01	9.860956892964030107e-01
9.821964392878576033e-01	9.875039665677066703e-01
9.841968393678736104e-01	9.889113836465965868e-01
9.861972394478896176e-01	9.903179428052490962e-01
9.881976395279056247e-01	9.917236463052435669e-01
9.901980396079216318e-01	9.931284963976327873e-01
9.921984396879376389e-01	9.945324953230131326e-01
9.941988397679536460e-01	9.959356453115945085e-01
9.961992398479695421e-01	9.973379485832687408e-01
9.981996399279855492e-01	9.987394073476786316e-01
1.000200040008001556e+00	1.000140023804284795e+00
1.002200440088017563e+00	1.001539800142433601e+00
1.004200840168033571e+00	1.002938738541423680e+00
1.006201240248049578e+00	1.004336841170571315e+00
1.008201640328065585e+00	1.005734110189276942e+00
1.010202040408081592e+00	1.007130547747088878e+00
1.012202440488097599e+00	1.008526155983769046e+00
1.014202840568113606e+00	1.009920937029355592e+00
1.016203240648129613e+00	1.011314893004226612e+00
1.018203640728145620e+00	1.012708026019162766e+00
1.020204040808161627e+00	1.014100338175410121e+00
1.022204440888177635e+00	1.015491831564740766e+00
1.024204840968193642e+00	1.016882508269514762e+00
1.026205241048209649e+00	1.018272370362740542e+00
1.028205641128225656e+00	1.019661419908134858e+00
1.030206041208241663e+00	1.021049658960182738e+00
1.032206441288257670e+00	1.022437089564196766e+00
1.034206841368273677e+00	1.023823713756375042e+00
1.036207241448289684e+00	1.025209533563859798e+00
1.038207641528305691e+00	1.026594551004795353e+00
1.040208041608321698e+00	1.027978768088384731e+00
1.042208441688337706e+00	1.029362186814946512e+00
1.044208841768353713e+00	1.030744809175971666e+00
1.046209241848369720e+00	1.032126637154178406e+00
1.048209641928385727e+00	1.033507672723568582e+00
1.050210042008401734e+00	1.034887917849481420e+00
1.052210442088417741e+00	1.036267374488648585e+00
1.054210842168433748e+00	1.037646044589248806e+00
1.056211242248449755e+00	1.039023930090959835e+00
1.058211642328465762e+00	1.040401032925012847e+00
1.060212042408481770e+00	1.041777355014245066e+00
1.062212442488497777e+00	1.043152898273151052e+00
1.064212842568513784e+00	1.044527664607935558e+00
1.066213242648529791e+00	1.045901655916564588e+00
1.068213642728545798e+00	1.047274874088815810e+00
1.070214042808561805e+00	1.048647321006330291e+00
1.072214442888577812e+00	1.050018998542661564e+00
1.074214842968593819e+00	1.051389908563326481e+00
1.076215243048609826e+00	1.052760052925853396e+00
1.078215643128625834e+00	1.054129433479832123e+00
1.080216043208641841e+00	1.055498052066962122e+00
1.082216443288657626e+00	1.056865910521100238e+00
1.084216843368673633e+00	1.058233010668309992e+00
1.086217243448689640e+00	1.059599354326907550e+00
1.088217643528705647e+00	1.060964943307508790e+00
1.090218043608721654e+00	1.062329779413077491e+00
1.092218443688737661e+00	1.063693864438969960e+00
1.094218843768753668e+00	1.065057200172982110e+00
1.096219243848769676e+00	1.066419788395394086e+00
1.098219643928785683e+00	1.067781630879016896e+00
1.100220044008801690e+00	1.069142729389236157e+00
1.102220444088817697e+00	1.070503085684056499e+00
1.104220844168833704e+00	1.071862701514146865e+00
1.106221244248849711e+00	1.073221578622883587e+00
1.108221644328865718e+00	1.074579718746393686e+00
1.110222044408881725e+00	1.075937123613598612e+00
1.112222444488897732e+00	1.077293794946257099e+00
1.114222844568913739e+00	1.078649734459006693e+00
